linea,tension,se_inicial,se_final,volt_nom,conductor,i_nominal,empresa,longpropia,anotacion,depto,cod_dep,objectid_1
BUCARAMANGA - LOS PALOS 1 230 kV,230 kV,BUCA,PLS,230,DRAKE 795,810,ESSA,18 Km, ,SANTANDER,68,1
NOROESTE - TORCA 1 230 kV,230 kV,NOR,TORC,230, ,1300,ISA,19.5 Km, ,CUNDINAMARCA,11,2
LA ENEA - ESMERALDA 1 230 kV,230 kV,ENEA,ESMR,230, ,900,ISA,32.995 Km, ,CALDAS,17,3
JUANCHITO (220 kV) - SAN MARCOS (VALLE) 1 230 kV,230 kV,JUTO,SMRC,230, ,950,ISA,21.45 Km, ,VALLE DEL CAUCA,76,4
ORIENTE - PLAYAS 1 220 kV,220 kV,ORIE,PLAY,220,ACSR 1113BJ,777,EEPPM,54.75 Km, ,ANTIOQUIA,5,5
GUADALUPE IV - EL SALTO 1,220 kV,GUAD,SLTO,220,ACSR 1113BJ,777,EEPPM,8.8 Km, ,ANTIOQUIA,5,6
PARAISO - SAN MATEO EEB 1 230 kV,230 kV,PARA,SUR,230,AAAC 1600,960,EEB,33.96 Km, ,CUNDINAMARCA,11,7
GUAVIO - TUNAL 1 230 kV,230 kV,GUV,TUNA,230,ACSR RAIL,630,EEB,155.1216 K, ,CUNDINAMARCA,11,8
SAN MATEO (BOGOTA) - TUNAL 1 230 kV,230 kV,SUR,TUNA,230,AAAC 1600,960,EEB,14.89 Km, ,CUNDINAMARCA,11,9
LA GUACA - PARAISO 1 230 kV,230 kV,GUAC,PARA,230,AAAC 1600,960,EEB,7.5 Km, ,CUNDINAMARCA,25,10
SABANALARGA  - TERNERA 1 220 kV,220 kV,SAB,TERN,220,AAAC 927.2,630,TRANSELCA,80.183 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,ATLANTICO,8,11
CUESTECITAS - CUATRICENTENARIO 1,220 kV,CUES,CTRI,220,ACAR 1000,691, , , ,GUAJIRA,44,12
SAN CARLOS  - ESMERALDA 1 230 kV,230 kV,ESMR,SAC,230, ,900,ISA,193.73 Km, ,ANTIOQUIA,5,13
TUNAL - LA REFORMA 1,220 kV,TUNA,VIV,220, ,810, , , ,CUNDINAMARCA,11,14
OCANA - LOS PALOS 1 230 kV,230 kV,OCA,PLS,230, ,570,ISA,160.53 Km, ,NORTE DE SANTANDER,54,15
ESMERALDA  - LA HERMOSA 1,230 kV,ESMR,HERM,230, ,1046,ISA,24.5 Km, ,CALDAS,17,16
LA ENEA - SAN FELIPE 1 230 kV,230 kV,ENEA,MARI,230, ,900,ISA,67.415 Km, ,CALDAS,17,17
SAN FELIPE - LA MESA 1 230 kV,230 kV,MESA,MARI,230, ,900,ISA,78.82 Km, ,CUNDINAMARCA,25,18
GUATAPE - MIRAFLORES 1 220 kV,220 kV,GTPE,MIRF,220,ACSR 1113BJ,777,EEPPM,51.33 Km, ,ANTIOQUIA,5,19
ANCON SUR (EPM) - MIRAFLORES 1 220 kV,220 kV,ANCE,MIRF,220, ,777,EEPPM,20 Km, ,ANTIOQUIA,5,20
ENVIGADO - ORIENTE 1,220 kV,ENVG,ORIE,220,ACSR 1113F,777,EEPPM,26.77 Km, ,ANTIOQUIA,5,21
CIRCO - GUAVIO 1,220 kV,CIRC,GUV,220,ACSR RAIL,710,EEB, , ,CUNDINAMARCA,11,22
GUAVIO - LA REFORMA 1 230 kV,230 kV,GUV,VIV,230,ACSR RAIL,990,ISA,80.4 Km, ,CUNDINAMARCA,25,23
GUAVIO - TORCA 1 230 kV,230 kV,GUV,TORC,230, ,960,ISA,84 Km, ,CUNDINAMARCA,11,24
GUAVIO - CHIVOR 1 230 kV,230 kV,CHIV,GUV,230,FINCH,960,ISA,22 Km, ,BOYACA,15,25
YUMBO - SAN MARCOS 1 230 kV,230 kV,SMRC,YUMB,230,ACSR 1033,900,ISA,6.15 Km, ,VALLE DEL CAUCA,76,26
PANCE - YUMBO 1 230 kV,230 kV,PANC,YUMB,230,ACSR 1033,842,EPSA,26.7 Km, ,VALLE DEL CAUCA,76,27
PANCE - SALVAJINA 1,230 kV,PANC,SLVJ,230,AASC 1200,842,EPSA,49.2 Km, ,CAUCA,19,28
ALTO ANCHICAYA - PANCE 1 230 kV,230 kV,ALAN,PANC,230,ACSR 1033,842,EPSA,53.7 Km,Longitud confirmada en 22/10/02 -,VALLE DEL CAUCA,76,29
GUATAPE - SAN CARLOS 1,220 kV,GTPE,SAC,220, ,810, , , ,ANTIOQUIA,5,30
BARRANCA - SOGAMOSO,230 kV,BARN,SOGA,230, ,810,ESSA-ISA, , ,SANTANDER,68,31
ENVIGADO - OCCIDENTE 1,220 kV,ENVG,OCCI,220,ACSR 1351,805,EEPPM,29.1 Km, ,ANTIOQUIA,5,32
ENVIGADO - GUATAPE 1,220 kV,ENVG,GTPE,220,ACSR 1113F,777,EEPPM,63.2 Km, ,ANTIOQUIA,5,33
BARBOSA (ANTIOQUIA) - GUATAPE 1 220 kV,220 kV,BARB,GTPE,220,ACSR 1113BJ,777,EEPPM,35.53 Km, ,ANTIOQUIA,5,34
JUANCHITO - PANCE 1 230 kV,230 kV,JUTO,PANC,230,AASC 1200,842,EPSA,22.9 Km, ,VALLE DEL CAUCA,76,35
EL COPEY - VALLEDUPAR 1 220 kV,220 kV,COPE,VDUP,220,AAAC 927.2,630,TRANSELCA,90.8 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,CESAR,20,36
NUEVA BARRANQUILLA - SABANALARGA 3 220 kV,220 kV,NBQU,SAB,220,AAAC 927.2,787,TRANSELCA,43.342 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,ATLANTICO,8,37
SABANALARGA - FUNDACION 1,220 kV,SAB,FUND,220, ,810, , , ,ATLANTICO,8,38
FUNDACION - SANTA MARTA 1 220 kV,220 kV,FUND,SMAR,220,AAAC 927.2,630,TRANSELCA,84.204 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,MAGDALENA,47,39
FUNDACION - EL COPEY 1 220 kV,220 kV,COPE,FUND,220,AAAC 927.2,630,TRANSELCA,49.414 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,CESAR,20,40
SAMORE - TOLEDO 1 230 kV,230 kV,SMO,TLD,230, ,680,ISA,44.64 Km, ,NORTE DE SANTANDER,54,41
SAN MATEO (CUCUTA) - TASAJERO 1 230 kV,230 kV,SMT,TJRO,230, ,860,DISTASA,18.813 Km, ,NORTE DE SANTANDER,54,42
BARBOSA (ANTIOQUIA) - GUADALUPE IV 1,220 kV,BARB,GUAD,220,ACSR 1113BJ,777,EEPPM,51.4 Km, ,ANTIOQUIA,5,43
GUATAPE - JAGUAS 1 230 kV,230 kV,GTPE,JAGU,230, ,712,ISA,18.8 Km, ,ANTIOQUIA,5,44
GUATAPE - PLAYAS 1 220 kV,220 kV,GTPE,PLAY,220,ACSR 1113BJ,777,EEPPM,21.15 Km, ,ANTIOQUIA,5,45
LA GUACA - LA MESA 1 230 kV,230 kV,GUAC,MESA,230,AAAC 1600,960,EEB,5 Km, ,CUNDINAMARCA,25,46
CIRCO - PARAISO 1,220 kV,CIRC,PARA,220,AAAC 1600,960, , , ,CUNDINAMARCA,11,47
CIRCO - TUNAL 1,220 kV,CIRC,TUNA,220,AAAC 1600,960, , , ,CUNDINAMARCA,11,48
JAGUAS - MALENA 1,220 kV,JAGU,MALE,220, ,810, , , ,ANTIOQUIA,5,49
GUATIGUARA - PRIMAVERA 1,220 kV,NBUC,PVRA,220, ,810, , , ,SANTANDER,68,50
TASAJERO - LOS PALOS 1 230 kV,230 kV,PLS,TJRO,230, ,868,ISA,100.12 Km, ,NORTE DE SANTANDER,54,51
LOS PALOS - TOLEDO 1 230 kV,230 kV,PLS,TLD,230,DRAKE 795,810,ISA,79.43 Km, ,NORTE DE SANTANDER,54,52
CERROMATOSO - SAN CARLOS 2 500 kV,500 kV,CMA,SAC,500,AAAC 740.8,706,ISA,229 Km, ,ANTIOQUIA,5,53
SAN CARLOS - LA VIRGINIA 1 500 kV,500 kV,SAC,VIR,500, ,760,ISA,212.92 Km, ,ANTIOQUIA,5,54
SAN MARCOS - VIRGINIA 1 500 KV,500 kV,SMRC,VIR,500, ,760,ISA,166.84 Km, ,RISARALDA,66,55
SABANALARGA - CHINU ISA 1 500 kV,500 kV,CHIN,SAB,500,AAAC 544,706,ISA,183 Km, ,ATLANTICO,8,56
SABANALARGA  - CHINU 2 500 kV,500 kV,CHIN,SAB,500,AAAC 544,706,ISA,185 Km, ,ATLANTICO,8,57
CHINU - CERROMATOSO 1 500 kV,500 kV,CHIN,CMA,500,AAAC 544,706,ISA,131 Km, ,CORDOBA,23,58
CHINU - CERROMATOSO 2 500 kV,500 kV,CHIN,CMA,500,AAAC 544,706,ISA,132 Km, ,CORDOBA,23,59
CERROMATOSO - SAN CARLOS 1 500 kV,500 kV,CMA,SAC,500,AAAC 740.8,706,ISA,209.6 Km, ,ANTIOQUIA,5,60
PRIMAVERA - COMUNEROS 2 230 kV,230 kV,BARI,PVRA,230, ,868,ISA,112.3 Km, ,SANTANDER,68,61
JAMONDINO - SAN BERNARDINO 1 230 kV,230 kV,PAST,PPYN,230, ,860,ISA,188 Km, ,CAUCA,19,62
JAMONDINO - SAN BERNARDINO 2 230 kV,230 kV,PAST,PPYN,230, ,860,ISA,188 Km, ,CAUCA,19,63
LA VIRGINIA - CARTAGO 1,220 kV,VIR,CGVC,220, ,810, , , ,RISARALDA,66,64
LA VIRGINIA - LA HERMOSA 1 230 kV,230 kV,HERM,VIR,230, ,846,ISA,26.95 Km, ,RISARALDA,66,65
LA VIRGINIA - SAN MARCOS 2,220 kV,SMRC,VIR,220, ,950, , , ,RISARALDA,66,66
SAN CARLOS -  ESMERALDA 2 230 kV,230 kV,ESMR,SAC,230, ,900,ISA,193.73 Km, ,ANTIOQUIA,5,67
NOROESTE - LA MESA 1 230 kV,230 kV,MESA,NOR,230,FINCH,920,ISA,39.7 Km, ,CUNDINAMARCA,11,68
IBAGUE (MIROLINDO) - LA MESA 1,220 kV,IBAG,MESA,220, ,810, , , ,CUNDINAMARCA,25,69
ESMERALDA - YUMBO 1,220 kV,ESMR,YUMB,220, ,810, , , ,CALDAS,17,70
BETANIA - IBAGUE (MIROLINDO) 1 230 kV,230 kV,BETA,IBAG,230,ACAR 1000,739,ISA,206 Km, ,HUILA,41,71
ESMERALDA - YUMBO 2 230 kV,230 kV,ESMR,YUMB,230, ,650,ISA,193.3 Km, ,CALDAS,17,72
CERROMATOSO - URRA 2,220 kV,CMA,URRA,220, ,800, , , ,CORDOBA,23,73
BARRANCA - COMUNEROS 1 230 kV,230 kV,BARN,BARI,230,DRAKE 795,810,ISA,11.14 Km, ,SANTANDER,68,74
ANCON SUR ISA - SAN CARLOS  1 230 kV,230 kV,ANCI,SAC,230, ,900,ISA,107.18 Km, ,ANTIOQUIA,5,75
ANCON SUR ISA - SAN CARLOS  2 230 kV,230 kV,ANCI,SAC,230, ,971,ISA,107.18 Km, ,ANTIOQUIA,5,76
TERMOCANDELARIA - TERNERA 1 220 kV,220 kV,TERN,CANDELARIA,220,AAAC 927.2,630,TRANSELCA,3.345 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.     0.221 km son propied,BOLIVAR,13,77
TERMOCANDELARIA - TERNERA 2 220 kV,220 kV,TERN,CANDELARIA,220,AAAC 927.2,630,TRANSELCA,3.4432 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.      0.319 km son propie,BOLIVAR,13,78
TERMOFLORES II - NUEVA BARRANQUILLA 1 220 kV,220 kV,TFLO,NBQU,220,AAAC,787,TRANSELCA,7.4 Km,Son propiedad de Termoflores S.A. E.S.P y son representados por TRANSELCA S.A. E.S.P.,ATLANTICO,8,79
TERMOFLORES II - NUEVA BARRANQUILLA 2 220 kV,220 kV,TFLO,NBQU,220,AAAC,787,TRANSELCA,7.4 Km,Son propiedad de Termoflores S.A. E.S.P y son representados por TRANSELCA S.A. E.S.P.,ATLANTICO,8,80
BETANIA - SAN BERNARDINO 2 230 kV,230 kV,BETA,PPYN,230, ,868,ISA,144 Km, ,CAUCA,19,81
BETANIA - SAN BERNARDINO 1 230 kV,230 kV,BETA,PPYN,230, ,868,ISA,144 Km, ,CAUCA,19,82
PRIMAVERA - COMUNEROS 1 230 kV,230 kV,BARI,PVRA,230, ,868,ISA,101.74 Km, ,SANTANDER,68,83
TEBSA - SABANALARGA 2 220 kV,220 kV,SAB,TBSA,220,AAAC 927.2,630,TRANSELCA,38.423 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,ATLANTICO,8,84
TEBSA - SABANALARGA 3 220 kV,220 kV,SAB,TBSA,220,AAAC 927.2,630,TRANSELCA,38.506 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,ATLANTICO,8,85
SAN MATEO CENS - COROZO 2,220 kV,CRZO,SMT,220,ACSR,753, , , ,NORTE DE SANTANDER,54,86
SAN CARLOS - PURNIO 1 230 kV,230 kV,PURN,SAC,230,AAAC 1200,968,ISA,91.33 Km, ,ANTIOQUIA,5,87
PURNIO - SAN CARLOS 2,220 kV,PURN,SAC,220,AAAC 1200,968, , , ,ANTIOQUIA,5,88
CHIVOR - TORCA 1,220 kV,CHIV,TORC,220, ,880,ISA, , ,CUNDINAMARCA,11,89
CHIVOR - TORCA 2,220 kV,CHIV,TORC,220, ,880,ISA, , ,CUNDINAMARCA,11,90
FUNDACION - SANTA MARTA 2 220 kV,220 kV,FUND,SMAR,220,AAAC 927.2,630,TRANSELCA,84.204 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,MAGDALENA,47,91
SABANALARGA - FUNDACION 2 220 kV,220 kV,FUND,SAB,220, ,900,TRANSELCA,91.147 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,ATLANTICO,8,92
NUEVA BARRANQUILLA - SABANALARGA 1 220 kV,220 kV,NBQU,SAB,220, ,787,TRANSELCA,45.281 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,ATLANTICO,8,93
NUEVA BARRANQUILLA - SABANALARGA 2 220 kV,220 kV,NBQU,SAB,220,AAAC 927.2,787,TRANSELCA,43.342 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,ATLANTICO,8,94
BALSILLAS - NOROESTE 1 230 kV,230 kV,BALS,NOR,230,FINCH,950,ISA,13.9 Km, ,CUNDINAMARCA,11,95
